round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_total,persona_B_participants,persona_B_participation_rate,persona_B_support_no_action,persona_B_support_no_action_rate,persona_B_opposers,persona_B_opposition_rate,persona_B_neutrals,persona_B_neutral_rate,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,0,0,42,0,0,0,42,0
2,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,6,33,0,3,0,6,33,3
3,50,36,0.7200,6,0.1200,0,0.0000,8,0.1600,36,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,29,0.8286,6,0.1714,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,14,7,6,0,18,5,7,6,23
4,50,17,0.3400,25,0.5000,0,0.0000,8,0.1600,17,7,5,0.7143,2,0.2857,0,0.0000,0,0.0000,35,12,0.3429,23,0.6571,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,33,4,1,0,1,11,4,1,12
5,50,6,0.1200,36,0.7200,0,0.0000,8,0.1600,6,7,2,0.2857,5,0.7143,0,0.0000,0,0.0000,35,4,0.1143,31,0.8857,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,44,5,0,0,1,0,5,0,1
