round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_total,persona_B_participants,persona_B_participation_rate,persona_B_support_no_action,persona_B_support_no_action_rate,persona_B_opposers,persona_B_opposition_rate,persona_B_neutrals,persona_B_neutral_rate,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,0,0,42,0,0,0,42,0
2,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,6,35,0,1,0,6,35,1
3,50,26,0.5200,16,0.3200,0,0.0000,8,0.1600,26,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,19,0.5429,16,0.4571,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,24,13,6,0,5,2,13,6,7
4,50,22,0.4400,20,0.4000,0,0.0000,8,0.1600,22,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,15,0.4286,20,0.5714,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,28,14,0,0,1,7,14,0,8
5,50,2,0.0400,40,0.8000,0,0.0000,8,0.1600,3,7,0,0.0000,7,1.0000,0,0.0000,0,0.0000,35,2,0.0571,33,0.9429,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,47,2,0,0,0,1,1,0,1
