round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_prime_total,persona_B_prime_participants,persona_B_prime_participation_rate,persona_B_prime_support_no_action,persona_B_prime_support_no_action_rate,persona_B_prime_opposers,persona_B_prime_opposition_rate,persona_B_prime_neutrals,persona_B_prime_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,7,0.1400,0,0.0000,0,0.0000,43,0.8600,7,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,0,0.0000,0,0.0000,0,0.0000,35,1.0000,7,0,43,43,0,0,7,0,0,0,7,0
2,50,30,0.6000,0,0.0000,0,0.0000,20,0.4000,30,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,23,0.6571,0,0.0000,0,0.0000,12,0.3429,30,0,20,20,23,4,0,3,0,23,4,3
3,50,12,0.2400,0,0.0000,0,0.0000,38,0.7600,12,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,5,0.1429,0,0.0000,0,0.0000,30,0.8571,12,0,38,38,3,2,0,4,3,3,2,7
4,50,23,0.4600,2,0.0400,0,0.0000,25,0.5000,23,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,5,0.7143,2,0.2857,0,0.0000,0,0.0000,35,18,0.5143,0,0.0000,0,0.0000,17,0.4857,25,0,25,27,7,9,2,1,4,7,11,5
5,50,9,0.1800,6,0.1200,0,0.0000,35,0.7000,9,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,1,0.1429,6,0.8571,0,0.0000,0,0.0000,35,8,0.2286,0,0.0000,0,0.0000,27,0.7714,15,0,35,41,1,5,0,2,1,1,5,3
