round,mean_participation_rate,std_participation_rate,mean_support_no_action_rate,std_support_no_action_rate,mean_opposition_rate,std_opposition_rate,mean_neutral_rate,std_neutral_rate,mean_persona_A_participation_rate,std_persona_A_participation_rate,mean_persona_A_support_no_action_rate,std_persona_A_support_no_action_rate,mean_persona_A_opposition_rate,std_persona_A_opposition_rate,mean_persona_A_neutral_rate,std_persona_A_neutral_rate,mean_persona_B_participation_rate,std_persona_B_participation_rate,mean_persona_B_support_no_action_rate,std_persona_B_support_no_action_rate,mean_persona_B_opposition_rate,std_persona_B_opposition_rate,mean_persona_B_neutral_rate,std_persona_B_neutral_rate,mean_persona_C_participation_rate,std_persona_C_participation_rate,mean_persona_C_support_no_action_rate,std_persona_C_support_no_action_rate,mean_persona_C_opposition_rate,std_persona_C_opposition_rate,mean_persona_C_neutral_rate,std_persona_C_neutral_rate
1,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.7840,0.0329,0.0560,0.0329,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.9486,0.0373,0.0514,0.0373,0.0000,0.0000,0.0000,0.0000,0.8571,0.1010,0.1429,0.1010,0.0000,0.0000,0.0000,0.0000
5,0.2640,0.0456,0.5760,0.0456,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3257,0.0658,0.6743,0.0658,0.0000,0.0000,0.0000,0.0000,0.2571,0.1863,0.7429,0.1863,0.0000,0.0000,0.0000,0.0000
