round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_prime_total,persona_B_prime_participants,persona_B_prime_participation_rate,persona_B_prime_support_no_action,persona_B_prime_support_no_action_rate,persona_B_prime_opposers,persona_B_prime_opposition_rate,persona_B_prime_neutrals,persona_B_prime_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,7,0.1400,0,0.0000,0,0.0000,43,0.8600,7,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,0,0.0000,0,0.0000,0,0.0000,35,1.0000,7,0,43,43,0,0,7,0,0,0,7,0
2,50,24,0.4800,0,0.0000,0,0.0000,26,0.5200,24,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,17,0.4857,0,0.0000,0,0.0000,18,0.5143,24,0,26,26,17,4,0,3,0,17,4,3
3,50,16,0.3200,0,0.0000,0,0.0000,34,0.6800,16,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,9,0.2571,0,0.0000,0,0.0000,26,0.7429,16,0,34,34,8,1,0,3,4,8,1,7
4,50,21,0.4200,0,0.0000,0,0.0000,29,0.5800,21,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,14,0.4000,0,0.0000,0,0.0000,21,0.6000,21,0,29,29,9,7,0,2,3,9,7,5
5,50,14,0.2800,4,0.0800,0,0.0000,32,0.6400,14,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,3,0.4286,4,0.5714,0,0.0000,0,0.0000,35,11,0.3143,0,0.0000,0,0.0000,24,0.6857,18,0,32,36,4,6,0,3,1,4,6,4
