round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_prime_total,persona_B_prime_participants,persona_B_prime_participation_rate,persona_B_prime_support_no_action,persona_B_prime_support_no_action_rate,persona_B_prime_opposers,persona_B_prime_opposition_rate,persona_B_prime_neutrals,persona_B_prime_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,7,0.1400,0,0.0000,0,0.0000,43,0.8600,7,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,0,0.0000,0,0.0000,0,0.0000,35,1.0000,7,0,43,43,0,0,7,0,0,0,7,0
2,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,42,0,8,8,35,6,0,1,0,35,6,1
3,50,39,0.7800,3,0.0600,0,0.0000,8,0.1600,39,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,32,0.9143,3,0.0857,0,0.0000,0,0.0000,42,0,8,11,0,32,0,6,1,0,32,7
4,50,11,0.2200,31,0.6200,0,0.0000,8,0.1600,11,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,6,0.8571,1,0.1429,0,0.0000,0,0.0000,35,5,0.1429,30,0.8571,0,0.0000,0,0.0000,42,0,8,39,0,1,0,4,6,0,1,10
5,50,0,0.0000,41,0.8200,0,0.0000,9,0.1800,0,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,0,0.0000,7,1.0000,0,0.0000,0,0.0000,35,0,0.0000,34,0.9714,0,0.0000,1,0.0286,41,0,9,50,0,0,0,0,0,0,0,0
