round,mean_participation_rate,std_participation_rate,mean_support_no_action_rate,std_support_no_action_rate,mean_opposition_rate,std_opposition_rate,mean_neutral_rate,std_neutral_rate,mean_persona_A_participation_rate,std_persona_A_participation_rate,mean_persona_A_support_no_action_rate,std_persona_A_support_no_action_rate,mean_persona_A_opposition_rate,std_persona_A_opposition_rate,mean_persona_A_neutral_rate,std_persona_A_neutral_rate,mean_persona_B_prime_participation_rate,std_persona_B_prime_participation_rate,mean_persona_B_prime_support_no_action_rate,std_persona_B_prime_support_no_action_rate,mean_persona_B_prime_opposition_rate,std_persona_B_prime_opposition_rate,mean_persona_B_prime_neutral_rate,std_persona_B_prime_neutral_rate,mean_persona_C_participation_rate,std_persona_C_participation_rate,mean_persona_C_support_no_action_rate,std_persona_C_support_no_action_rate,mean_persona_C_opposition_rate,std_persona_C_opposition_rate,mean_persona_C_neutral_rate,std_persona_C_neutral_rate
1,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.5680,0.0502,0.0000,0.0000,0.0000,0.0000,0.4320,0.0502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.6114,0.0717,0.0000,0.0000,0.0000,0.0000,0.3886,0.0717,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.2800,0.0469,0.0000,0.0000,0.0000,0.0000,0.7200,0.0469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2000,0.0670,0.0000,0.0000,0.0000,0.0000,0.8000,0.0670,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.3960,0.0518,0.0200,0.0141,0.0000,0.0000,0.5840,0.0573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3943,0.0818,0.0000,0.0000,0.0000,0.0000,0.6057,0.0818,0.8571,0.1010,0.1429,0.1010,0.0000,0.0000,0.0000,0.0000
5,0.2040,0.0434,0.1080,0.0268,0.0000,0.0000,0.6880,0.0390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2457,0.0557,0.0000,0.0000,0.0000,0.0000,0.7543,0.0557,0.2286,0.1917,0.7714,0.1917,0.0000,0.0000,0.0000,0.0000
