round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_total,persona_B_participants,persona_B_participation_rate,persona_B_support_no_action,persona_B_support_no_action_rate,persona_B_opposers,persona_B_opposition_rate,persona_B_neutrals,persona_B_neutral_rate,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,0,0,42,0,0,0,42,0
2,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,13,25,0,4,0,13,25,4
3,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,1,13,0,20,8,1,13,28
4,50,37,0.7400,5,0.1000,0,0.0000,8,0.1600,37,7,6,0.8571,1,0.1429,0,0.0000,0,0.0000,35,31,0.8857,4,0.1143,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,13,0,1,0,16,20,0,1,36
5,50,17,0.3400,25,0.5000,0,0.0000,8,0.1600,17,7,3,0.4286,4,0.5714,0,0.0000,0,0.0000,35,14,0.4000,21,0.6000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,33,3,0,0,0,14,3,0,14
