round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_total,persona_B_participants,persona_B_participation_rate,persona_B_support_no_action,persona_B_support_no_action_rate,persona_B_opposers,persona_B_opposition_rate,persona_B_neutrals,persona_B_neutral_rate,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,0,0,42,0,0,0,42,0
2,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,12,28,0,2,0,12,28,2
3,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,1,12,0,23,6,1,12,29
4,50,40,0.8000,2,0.0400,0,0.0000,8,0.1600,40,7,6,0.8571,1,0.1429,0,0.0000,0,0.0000,35,34,0.9714,1,0.0286,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,10,0,0,0,16,24,0,0,40
5,50,13,0.2600,29,0.5800,0,0.0000,8,0.1600,13,7,0,0.0000,7,1.0000,0,0.0000,0,0.0000,35,13,0.3714,22,0.6286,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,37,0,0,0,1,12,0,0,13
