round,mean_participation_rate,std_participation_rate,mean_support_no_action_rate,std_support_no_action_rate,mean_opposition_rate,std_opposition_rate,mean_neutral_rate,std_neutral_rate,mean_persona_A_participation_rate,std_persona_A_participation_rate,mean_persona_A_support_no_action_rate,std_persona_A_support_no_action_rate,mean_persona_A_opposition_rate,std_persona_A_opposition_rate,mean_persona_A_neutral_rate,std_persona_A_neutral_rate,mean_persona_B_participation_rate,std_persona_B_participation_rate,mean_persona_B_support_no_action_rate,std_persona_B_support_no_action_rate,mean_persona_B_opposition_rate,std_persona_B_opposition_rate,mean_persona_B_neutral_rate,std_persona_B_neutral_rate,mean_persona_C_participation_rate,std_persona_C_participation_rate,mean_persona_C_support_no_action_rate,std_persona_C_support_no_action_rate,mean_persona_C_opposition_rate,std_persona_C_opposition_rate,mean_persona_C_neutral_rate,std_persona_C_neutral_rate
1,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.5480,0.1293,0.2920,0.1293,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.5829,0.1847,0.4171,0.1847,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.4320,0.1119,0.4080,0.1119,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.4514,0.1659,0.5486,0.1659,0.0000,0.0000,0.0000,0.0000,0.8286,0.1195,0.1714,0.1195,0.0000,0.0000,0.0000,0.0000
5,0.2360,0.1757,0.6040,0.1757,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2629,0.2044,0.7371,0.2044,0.0000,0.0000,0.0000,0.0000,0.3714,0.2785,0.6286,0.2785,0.0000,0.0000,0.0000,0.0000
