round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_prime_total,persona_B_prime_participants,persona_B_prime_participation_rate,persona_B_prime_support_no_action,persona_B_prime_support_no_action_rate,persona_B_prime_opposers,persona_B_prime_opposition_rate,persona_B_prime_neutrals,persona_B_prime_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,7,0.1400,0,0.0000,0,0.0000,43,0.8600,7,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,0,0.0000,0,0.0000,0,0.0000,35,1.0000,7,0,43,43,0,0,7,0,0,0,7,0
2,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,42,0,8,8,33,5,2,2,0,33,7,2
3,50,41,0.8200,1,0.0200,0,0.0000,8,0.1600,41,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,34,0.9714,1,0.0286,0,0.0000,0,0.0000,42,0,8,9,1,6,27,6,1,1,33,7
4,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,42,0,8,8,0,23,6,6,7,0,29,13
5,50,32,0.6400,10,0.2000,0,0.0000,8,0.1600,32,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,25,0.7143,10,0.2857,0,0.0000,0,0.0000,42,0,8,18,1,0,14,9,8,1,14,17
