round,mean_participation_rate,std_participation_rate,mean_support_no_action_rate,std_support_no_action_rate,mean_opposition_rate,std_opposition_rate,mean_neutral_rate,std_neutral_rate,mean_persona_A_participation_rate,std_persona_A_participation_rate,mean_persona_A_support_no_action_rate,std_persona_A_support_no_action_rate,mean_persona_A_opposition_rate,std_persona_A_opposition_rate,mean_persona_A_neutral_rate,std_persona_A_neutral_rate,mean_persona_B_prime_participation_rate,std_persona_B_prime_participation_rate,mean_persona_B_prime_support_no_action_rate,std_persona_B_prime_support_no_action_rate,mean_persona_B_prime_opposition_rate,std_persona_B_prime_opposition_rate,mean_persona_B_prime_neutral_rate,std_persona_B_prime_neutral_rate,mean_persona_C_participation_rate,std_persona_C_participation_rate,mean_persona_C_support_no_action_rate,std_persona_C_support_no_action_rate,mean_persona_C_opposition_rate,std_persona_C_opposition_rate,mean_persona_C_neutral_rate,std_persona_C_neutral_rate
1,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.5480,0.3390,0.1040,0.0942,0.0000,0.0000,0.3480,0.2733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.5886,0.4754,0.1429,0.1340,0.0000,0.0000,0.2686,0.3905,0.9714,0.0639,0.0286,0.0639,0.0000,0.0000,0.0000,0.0000
4,0.4240,0.2504,0.2600,0.2657,0.0000,0.0000,0.3160,0.2273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.4286,0.3446,0.3486,0.3639,0.0000,0.0000,0.2229,0.3248,0.8857,0.1195,0.1143,0.1195,0.0000,0.0000,0.0000,0.0000
5,0.2400,0.2514,0.4480,0.3068,0.0000,0.0000,0.3120,0.1993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2629,0.3040,0.5200,0.4288,0.0000,0.0000,0.2171,0.2847,0.4000,0.4333,0.6000,0.4333,0.0000,0.0000,0.0000,0.0000
