round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_total,persona_B_participants,persona_B_participation_rate,persona_B_support_no_action,persona_B_support_no_action_rate,persona_B_opposers,persona_B_opposition_rate,persona_B_neutrals,persona_B_neutral_rate,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,0,0,42,0,0,0,42,0
2,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,8,7,35,0,0,0,7,35,0
3,50,18,0.3600,24,0.4800,0,0.0000,8,0.1600,18,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,11,0.3143,24,0.6857,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,32,7,7,0,0,4,7,7,4
4,50,30,0.6000,12,0.2400,0,0.0000,8,0.1600,30,7,5,0.7143,2,0.2857,0,0.0000,0,0.0000,35,25,0.7143,10,0.2857,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,20,17,0,0,7,6,17,0,13
5,50,25,0.5000,17,0.3400,0,0.0000,8,0.1600,26,7,5,0.7143,2,0.2857,0,0.0000,0,0.0000,35,20,0.5714,15,0.4286,0,0.0000,0,0.0000,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,42,0,8,24,8,0,0,6,12,7,0,18
