round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_prime_total,persona_B_prime_participants,persona_B_prime_participation_rate,persona_B_prime_support_no_action,persona_B_prime_support_no_action_rate,persona_B_prime_opposers,persona_B_prime_opposition_rate,persona_B_prime_neutrals,persona_B_prime_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,7,0.1400,0,0.0000,0,0.0000,43,0.8600,7,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,0,0.0000,0,0.0000,0,0.0000,35,1.0000,7,0,43,43,0,0,7,0,0,0,7,0
2,50,29,0.5800,0,0.0000,0,0.0000,21,0.4200,29,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,22,0.6286,0,0.0000,0,0.0000,13,0.3714,29,0,21,21,22,6,0,1,0,22,6,1
3,50,16,0.3200,0,0.0000,0,0.0000,34,0.6800,16,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,9,0.2571,0,0.0000,0,0.0000,26,0.7429,16,0,34,34,6,3,0,6,1,6,3,7
4,50,16,0.3200,1,0.0200,0,0.0000,33,0.6600,16,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,6,0.8571,1,0.1429,0,0.0000,0,0.0000,35,10,0.2857,0,0.0000,0,0.0000,25,0.7143,17,0,33,34,5,1,1,3,6,5,2,9
5,50,10,0.2000,7,0.1400,0,0.0000,33,0.6600,10,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,0,0.0000,7,1.0000,0,0.0000,0,0.0000,35,10,0.2857,0,0.0000,0,0.0000,25,0.7143,17,0,33,40,0,7,2,0,1,0,9,1
