round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_prime_total,persona_B_prime_participants,persona_B_prime_participation_rate,persona_B_prime_support_no_action,persona_B_prime_support_no_action_rate,persona_B_prime_opposers,persona_B_prime_opposition_rate,persona_B_prime_neutrals,persona_B_prime_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,7,0.1400,0,0.0000,0,0.0000,43,0.8600,7,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,0,0.0000,0,0.0000,0,0.0000,35,1.0000,7,0,43,43,0,0,7,0,0,0,7,0
2,50,42,0.8400,0,0.0000,0,0.0000,8,0.1600,42,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,35,1.0000,0,0.0000,0,0.0000,0,0.0000,42,0,8,8,35,7,0,0,0,35,7,0
3,50,12,0.2400,13,0.2600,0,0.0000,25,0.5000,12,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,5,0.1429,13,0.3714,0,0.0000,17,0.4857,25,0,25,38,1,5,0,1,5,1,5,6
4,50,22,0.4400,6,0.1200,0,0.0000,22,0.4400,22,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,15,0.4286,6,0.1714,0,0.0000,14,0.4000,28,0,22,28,1,14,1,4,2,1,15,6
5,50,6,0.1200,18,0.3600,0,0.0000,26,0.5200,6,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,1,0.1429,6,0.8571,0,0.0000,0,0.0000,35,5,0.1429,12,0.3429,0,0.0000,18,0.5143,24,0,26,44,0,3,0,3,0,0,3,3
