round,total_agents,participation_count,participation_rate,support_no_action_count,support_no_action_rate,opposition_count,opposition_rate,neutral_count,neutral_rate,total_actions,persona_A_total,persona_A_participants,persona_A_participation_rate,persona_A_support_no_action,persona_A_support_no_action_rate,persona_A_opposers,persona_A_opposition_rate,persona_A_neutrals,persona_A_neutral_rate,persona_C_total,persona_C_participants,persona_C_participation_rate,persona_C_support_no_action,persona_C_support_no_action_rate,persona_C_opposers,persona_C_opposition_rate,persona_C_neutrals,persona_C_neutral_rate,persona_B_prime_total,persona_B_prime_participants,persona_B_prime_participation_rate,persona_B_prime_support_no_action,persona_B_prime_support_no_action_rate,persona_B_prime_opposers,persona_B_prime_opposition_rate,persona_B_prime_neutrals,persona_B_prime_neutral_rate,stance_support,stance_oppose,stance_neutral,action_0,action_1,action_2,action_3,action_4,action_5,cobra_consuming,cobra_contributing,cobra_creating
1,50,7,0.1400,0,0.0000,0,0.0000,43,0.8600,7,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,0,0.0000,0,0.0000,0,0.0000,35,1.0000,7,0,43,43,0,0,7,0,0,0,7,0
2,50,30,0.6000,0,0.0000,0,0.0000,20,0.4000,30,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,23,0.6571,0,0.0000,0,0.0000,12,0.3429,30,0,20,20,23,3,0,4,0,23,3,4
3,50,11,0.2200,0,0.0000,0,0.0000,39,0.7800,11,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,7,1.0000,0,0.0000,0,0.0000,0,0.0000,35,4,0.1143,0,0.0000,0,0.0000,31,0.8857,11,0,39,39,3,1,0,2,5,3,1,7
4,50,20,0.4000,1,0.0200,0,0.0000,29,0.5800,20,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,6,0.8571,1,0.1429,0,0.0000,0,0.0000,35,14,0.4000,0,0.0000,0,0.0000,21,0.6000,21,0,29,30,7,8,1,2,2,7,9,4
5,50,9,0.1800,4,0.0800,0,0.0000,37,0.7400,9,8,0,0.0000,0,0.0000,0,0.0000,8,1.0000,7,3,0.4286,4,0.5714,0,0.0000,0,0.0000,35,6,0.1714,0,0.0000,0,0.0000,29,0.8286,13,0,37,41,4,4,0,0,1,4,4,1
